brand,week_start,search_ratio,wow_change_pct,sov_pct
교보생명,2024-01-01,19.74,,20.54
교보생명,2024-01-08,21.42,8.5106,20.43
교보생명,2024-01-15,23.52,9.8039,21.25
교보생명,2024-01-22,25.3,7.568,21.77
교보생명,2024-01-29,24.57,-2.8854,17.19
교보생명,2024-02-05,16.72,-31.9495,16.54
교보생명,2024-02-12,20.17,20.634,18.93
교보생명,2024-02-19,21.9,8.5771,15.95
교보생명,2024-02-26,20.16,-7.9452,16.05
교보생명,2024-03-04,22.27,10.4663,17.51
교보생명,2024-03-11,21.82,-2.0207,19.06
교보생명,2024-03-18,21.62,-0.9166,19.65
교보생명,2024-03-25,22.03,1.8964,19.92
교보생명,2024-04-01,18.25,-17.1584,19.84
교보생명,2024-04-08,15.97,-12.4932,19.97
교보생명,2024-04-15,19.06,19.3488,21.13
교보생명,2024-04-22,19.7,3.3578,20.51
교보생명,2024-04-29,17.77,-9.797,21.29
교보생명,2024-05-06,17.12,-3.6579,21.12
교보생명,2024-05-13,17.21,0.5257,19.93
교보생명,2024-05-20,19.07,10.8077,21.03
교보생명,2024-05-27,19.79,3.7756,21.57
교보생명,2024-06-03,15.27,-22.8398,21.46
교보생명,2024-06-10,18.1,18.5331,21.57
교보생명,2024-06-17,18.4,1.6575,21.66
교보생명,2024-06-24,19.49,5.9239,21.29
교보생명,2024-07-01,18.15,-6.8753,20.48
교보생명,2024-07-08,17.64,-2.8099,19.98
교보생명,2024-07-15,17.35,-1.644,20.53
교보생명,2024-07-22,18.47,6.4553,21.35
교보생명,2024-07-29,18.17,-1.6243,21.18
교보생명,2024-08-05,17.62,-3.027,20.66
교보생명,2024-08-12,16.1,-8.6266,20.46
교보생명,2024-08-19,19.4,20.4969,20.77
교보생명,2024-08-26,20.35,4.8969,21.53
교보생명,2024-09-02,18.26,-10.2703,20.27
교보생명,2024-09-09,17.39,-4.7645,21.16
교보생명,2024-09-16,11.41,-34.3876,21.75
교보생명,2024-09-23,20.76,81.9457,21.88
교보생명,2024-09-30,15.45,-25.578,22.38
교보생명,2024-10-07,17.72,14.6926,22.95
교보생명,2024-10-14,18.8,6.0948,21.93
교보생명,2024-10-21,20.69,10.0532,23.32
교보생명,2024-10-28,19.32,-6.6216,21.99
교보생명,2024-11-04,18.21,-5.7453,22.56
교보생명,2024-11-11,18.73,2.8556,21.99
교보생명,2024-11-18,19.57,4.4848,19.51
교보생명,2024-11-25,20.95,7.0516,22.04
교보생명,2024-12-02,18.82,-10.1671,21.69
교보생명,2024-12-09,19.97,6.1105,23.41
교보생명,2024-12-16,20.86,4.4567,23.2
교보생명,2024-12-23,19.44,-6.8073,23.11
교보생명,2024-12-30,18.94,-2.572,22.29
교보생명,2025-01-06,20.18,6.547,21.92
교보생명,2025-01-13,20.33,0.7433,21.43
교보생명,2025-01-20,21.24,4.4761,21.97
교보생명,2025-01-27,11.72,-44.8211,22.18
교보생명,2025-02-03,23.23,98.2082,21.98
교보생명,2025-02-10,21.88,-5.8115,21.18
교보생명,2025-02-17,21.9,0.0914,18.97
교보생명,2025-02-24,23.04,5.2055,22.08
교보생명,2025-03-03,19.74,-14.3229,23.14
교보생명,2025-03-10,22.02,11.5502,21.93
교보생명,2025-03-17,21.0,-4.6322,21.57
교보생명,2025-03-24,24.83,18.2381,25.35
교보생명,2025-03-31,20.99,-15.4652,23.81
교보생명,2025-04-07,19.25,-8.2897,22.39
교보생명,2025-04-14,19.3,0.2597,23.52
교보생명,2025-04-21,21.03,8.9637,24.24
교보생명,2025-04-28,19.44,-7.5606,24.43
교보생명,2025-05-05,15.25,-21.5535,24.36
교보생명,2025-05-12,20.69,35.6721,23.55
교보생명,2025-05-19,19.69,-4.8333,23.07
교보생명,2025-05-26,19.59,-0.5079,20.8
교보생명,2025-06-02,13.67,-30.2195,18.99
교보생명,2025-06-09,18.96,38.6979,18.51
교보생명,2025-06-16,18.58,-2.0042,19.9
교보생명,2025-06-23,19.7,6.028,20.33
교보생명,2025-06-30,18.46,-6.2944,20.32
교보생명,2025-07-07,17.52,-5.0921,17.72
교보생명,2025-07-14,18.18,3.7671,17.89
교보생명,2025-07-21,18.35,0.9351,20.48
교보생명,2025-07-28,19.08,3.9782,20.59
교보생명,2025-08-04,18.76,-1.6771,22.11
교보생명,2025-08-11,18.16,-3.1983,23.23
교보생명,2025-08-18,21.74,19.7137,22.58
교보생명,2025-08-25,21.23,-2.3459,21.66
교보생명,2025-09-01,19.25,-9.3264,20.82
교보생명,2025-09-08,18.82,-2.2338,20.18
교보생명,2025-09-15,19.07,1.3284,20.54
교보생명,2025-09-22,19.36,1.5207,20.85
교보생명,2025-09-29,16.41,-15.2376,21.5
교보생명,2025-10-06,9.25,-43.6319,23.09
