brand,week_start,content_count,avg_engagement,total_views,total_likes,total_comments,source,topic_id,topic_label
교보생명,2025-08-04,2,0.0244,2847,57,2,youtube,,
교보생명,2025-09-01,9,0.1109,945990,972,236,youtube,,
교보생명,2025-09-08,2,0.105,15275,242,12,youtube,,
교보생명,2025-09-15,5,0.1479,190230,399,496,youtube,,
교보생명,2025-09-22,1,0.0256,151122,17,14,youtube,,
교보생명,2025-09-29,3,0.3036,438329,615,487,youtube,,
교보생명,2025-10-06,1,0.2388,95753,289,0,youtube,,
교보생명,2025-10-13,3,0.1664,442102,392,212,youtube,,
교보생명,2025-10-20,1,0.0934,101520,113,0,youtube,,
교보생명,2025-10-27,4,0.1659,405625,439,364,youtube,,
교보생명,2025-11-03,5,0.0924,8973423,516,43,youtube,,
교보생명,2025-11-10,6,0.1149,666149,505,329,youtube,,
교보생명,2025-11-17,1,0.0165,3090,20,0,youtube,,
교보생명,2025-11-24,5,0.2094,784215,728,539,youtube,,
교보생명,2025-12-01,5,0.2633,964780,1167,426,youtube,,
교보생명,2025-12-08,3,0.3096,482843,565,559,youtube,,
교보생명,2025-12-15,5,0.1721,492282,591,450,youtube,,
교보생명,2025-12-22,5,0.3093,997521,1322,549,youtube,,
교보생명,2025-12-29,4,0.219,709123,639,421,youtube,,
교보생명,2026-01-12,2,0.186,271767,442,8,youtube,,
교보생명,2026-01-19,1,0.0124,2997,14,1,youtube,,
교보생명,2026-01-26,1,0.7446,226948,297,604,youtube,,
교보생명,2026-02-02,3,0.2658,777972,951,14,youtube,,
교보생명,2026-02-23,1,0.0041,533,5,0,youtube,,
교보생명,2026-03-09,1,0.0099,2217,12,0,youtube,,
교보생명,2026-03-16,1,0.0091,2045,11,0,youtube,,
교보생명,2026-03-23,4,0.2517,387049,573,645,youtube,,
교보생명,2026-03-30,2,0.0343,52029,80,3,youtube,,
교보생명,2026-04-06,2,0.3099,553334,750,0,youtube,,
교보생명,2026-04-20,1,0.0025,617,3,0,youtube,,
교보생명,2026-05-04,7,0.1924,906819,1243,387,youtube,,
교보생명,2026-05-11,4,0.0475,137697,229,1,youtube,,
삼성생명,2023-05-01,3,0.1666,441407,663,831,youtube,,
삼성생명,2023-05-08,3,0.0041,25192,35,2,youtube,,
삼성생명,2023-06-19,1,0.1258,7889658,317,59,youtube,,
삼성생명,2023-06-26,2,0.0933,251703,277,281,youtube,,
삼성생명,2023-07-03,1,0.0023,763,7,0,youtube,,
삼성생명,2023-07-17,1,0.0033,27350,10,0,youtube,,
삼성생명,2023-07-24,1,0.0033,51181,8,2,youtube,,
삼성생명,2023-07-31,2,0.0054,79771,29,3,youtube,,
삼성생명,2023-08-07,4,0.0442,184510,311,218,youtube,,
삼성생명,2023-08-14,2,0.0043,5625268,25,1,youtube,,
삼성생명,2023-08-21,3,0.0466,149275,208,210,youtube,,
삼성생명,2023-09-04,4,0.0885,709681,877,181,youtube,,
삼성생명,2023-09-11,1,0.0328,1002350,98,0,youtube,,
삼성생명,2023-09-18,3,0.1405,172210,1000,260,youtube,,
삼성생명,2023-10-23,2,0.0808,55426,477,6,youtube,,
삼성생명,2023-12-04,1,0.1214,3840491,363,0,youtube,,
삼성생명,2023-12-18,1,0.3114,84027,930,1,youtube,,
삼성생명,2023-12-25,2,0.9841,2032207,5061,824,youtube,,
삼성생명,2024-02-26,1,0.0187,46139,56,0,youtube,,
삼성생명,2024-03-18,1,0.0167,24620,45,5,youtube,,
삼성생명,2024-04-15,1,0.4773,78250,786,641,youtube,,
삼성생명,2024-04-22,1,0.0298,30899,83,6,youtube,,
삼성생명,2024-05-27,2,0.2007,11814859,1147,53,youtube,,
삼성생명,2024-06-10,1,0.0308,20713,92,0,youtube,,
삼성생명,2024-06-24,1,0.0368,13586,110,0,youtube,,
삼성생명,2024-07-15,1,0.0314,16607,93,1,youtube,,
삼성생명,2024-07-22,1,0.0849,34029,253,1,youtube,,
삼성생명,2024-07-29,1,0.2084,124251,569,54,youtube,,
삼성생명,2024-08-26,1,0.6371,248875,1273,632,youtube,,
삼성생명,2024-09-02,7,0.0412,87152,836,26,youtube,,
삼성생명,2024-09-09,1,0.6087,34317,1820,0,youtube,,
삼성생명,2024-09-23,2,0.0778,28455,465,0,youtube,,
삼성생명,2024-10-14,2,0.0446,6283249,234,33,youtube,,
삼성생명,2024-10-21,2,0.1079,46487,622,23,youtube,,
삼성생명,2024-10-28,1,0.0261,18511,76,2,youtube,,
삼성생명,2024-11-04,1,0.1545,56495,456,6,youtube,,
삼성생명,2024-11-11,2,0.0433,62949,254,5,youtube,,
삼성생명,2024-11-25,1,0.4425,104945,1029,294,youtube,,
삼성생명,2024-12-16,1,0.2281,46779,677,5,youtube,,
삼성생명,2025-01-20,2,0.1737,164827,1035,4,youtube,,
삼성생명,2025-02-03,2,0.0627,3629127,312,63,youtube,,
삼성생명,2025-02-24,1,0.1084,64689,316,8,youtube,,
삼성생명,2025-03-17,1,0.3077,3207106,844,76,youtube,,
삼성생명,2025-03-24,1,0.2689,85486,788,16,youtube,,
삼성생명,2025-04-07,2,0.3017,181223,1800,4,youtube,,
삼성생명,2025-05-12,1,0.0659,85806,192,5,youtube,,
삼성생명,2025-06-09,1,0.5151,21528,1539,1,youtube,,
삼성생명,2025-07-14,2,0.6122,651869,3639,22,youtube,,
삼성생명,2025-07-21,1,0.399,69262,1162,31,youtube,,
삼성생명,2025-08-11,2,0.6498,228417,3872,14,youtube,,
삼성생명,2025-09-22,1,0.2114,329172,625,7,youtube,,
삼성생명,2025-10-27,1,0.001,1224,3,0,youtube,,
삼성생명,2025-11-17,1,0.0043,5857639,9,4,youtube,,
삼성생명,2025-11-24,1,0.0033,938,9,1,youtube,,
삼성생명,2025-12-01,1,0.407,1840259,527,690,youtube,,
삼성생명,2025-12-08,2,0.6826,1386467,4079,3,youtube,,
삼성생명,2026-02-09,1,0.0067,2006,19,1,youtube,,
삼성생명,2026-03-23,1,0.506,496033,856,657,youtube,,
삼성생명,2026-03-30,1,0.0097,7011077,29,0,youtube,,
삼성생명,2026-04-06,1,0.1361,326805,187,220,youtube,,
삼성생명,2026-04-20,2,0.0035,1820,21,0,youtube,,
삼성생명,2026-05-04,1,0.1518,459595,234,220,youtube,,
삼성생명,2026-05-11,1,0.002,627,6,0,youtube,,
한화생명,2024-11-04,1,0.0003,13101,0,1,youtube,,
한화생명,2024-11-11,1,0.0144,10752,46,1,youtube,,
한화생명,2024-11-18,3,0.0772,170835,671,86,youtube,,
한화생명,2024-11-25,4,0.0233,187723,300,5,youtube,,
한화생명,2024-12-02,3,0.0925,150685,800,107,youtube,,
한화생명,2024-12-09,4,0.0192,2976604,248,3,youtube,,
한화생명,2024-12-16,4,0.0274,197304,351,8,youtube,,
한화생명,2024-12-30,2,0.0405,331806,261,4,youtube,,
한화생명,2025-01-13,2,0.1083,75705,684,24,youtube,,
한화생명,2025-02-10,1,0.0502,1139139,164,0,youtube,,
한화생명,2025-02-24,2,0.2373,187354,1403,149,youtube,,
한화생명,2025-03-03,1,0.0147,20871,47,1,youtube,,
한화생명,2025-03-10,4,1.3272,635345,17349,11,youtube,,
한화생명,2025-03-31,2,0.7734,466203,4219,839,youtube,,
한화생명,2025-04-07,2,0.0326,58094,211,2,youtube,,
한화생명,2025-04-21,1,0.0801,71680,258,4,youtube,,
한화생명,2025-04-28,2,2.4963,468385,15942,384,youtube,,
한화생명,2025-05-26,3,0.2273,253956,2134,96,youtube,,
한화생명,2025-06-02,2,0.0055,1072,34,2,youtube,,
한화생명,2025-06-16,1,0.037,249181,118,3,youtube,,
한화생명,2025-06-23,2,0.0338,45148,221,0,youtube,,
한화생명,2025-07-21,2,0.4249,267459,2646,133,youtube,,
한화생명,2025-08-04,1,0.037,943,121,0,youtube,,
한화생명,2025-08-11,6,0.1631,161616,2579,621,youtube,,
한화생명,2025-09-08,1,0.037,20371,121,0,youtube,,
한화생명,2025-09-15,2,0.0693,45837,431,22,youtube,,
한화생명,2025-09-22,3,0.143,326960,1095,308,youtube,,
한화생명,2025-10-13,6,0.3466,909901,6495,305,youtube,,
한화생명,2025-11-03,1,0.018,451118,58,1,youtube,,
한화생명,2025-11-10,2,0.015,173352,98,0,youtube,,
한화생명,2025-12-01,2,0.0115,370713,73,2,youtube,,
한화생명,2025-12-08,3,0.0295,273416,275,14,youtube,,
한화생명,2025-12-15,1,0.0734,96256,228,12,youtube,,
한화생명,2025-12-22,2,0.2254,600615,1377,97,youtube,,
한화생명,2026-01-05,1,0.0376,148122,122,1,youtube,,
한화생명,2026-01-19,2,0.0061,18142306,38,2,youtube,,
한화생명,2026-03-16,4,0.0294,8394033,298,87,youtube,,
한화생명,2026-04-13,2,0.0052,2327,34,0,youtube,,
한화생명,2026-04-20,7,0.0548,492168,671,584,youtube,,
한화생명,2026-04-27,3,0.0088,173634,84,2,youtube,,
한화생명,2026-05-04,2,0.1138,244244,362,382,youtube,,
