brand,week_start,positive_ratio,neutral_ratio,negative_ratio,total_docs,top_keywords
general,2020-03-30,0.0,1.0,0.0,1,"[""소휘"", ""위메프"", ""산지로드"", ""농사지음"", ""캐시워크""]"
general,2020-04-20,0.0,1.0,0.0,1,"[""소휘"", ""위메프"", ""메디픽미"", ""리얼마이즈"", ""케시워크""]"
general,2020-06-01,0.0,1.0,0.0,1,"[""소휘"", ""위메프"", ""케시워크"", ""퀴즈"", ""정답""]"
general,2020-08-24,0.0,1.0,0.0,1,"[""캐시워크"", ""정답"", ""자동차"", ""보험료계산"", ""보험개발원""]"
general,2021-11-15,0.0,1.0,0.0,1,"[""투자포트폴리오"", ""성공"", ""재테크의"", ""핵심"", ""배분""]"
general,2021-12-13,0.0,1.0,0.0,1,"[""케시워크"", ""정답"", ""자동차"", ""보험료계산"", ""보험개발원""]"
general,2022-04-04,1.0,0.0,0.0,1,"[""국채"", ""년물"", ""뉴스"", ""자료"", ""수익률""]"
general,2022-10-31,0.0,1.0,0.0,1,"[""독서후기"", ""그릿"", ""앤절라"", ""더크워스"", ""장기적""]"
general,2022-11-21,0.0,1.0,0.0,1,"[""펀드"", ""투자"", ""있는"", ""벤처업계뉴스"", ""산은성장금융""]"
general,2023-03-20,0.0,1.0,0.0,1,"[""상반기"", ""후기"", ""개월"", ""하나은행"", ""최종합격""]"
general,2023-05-08,0.0,1.0,0.0,1,"[""주차"", ""창업"", ""스타트업"", ""소식"", ""일정""]"
general,2023-10-16,0.0,1.0,0.0,1,"[""보험리모델링"", ""성공사례"", ""승려"", ""스님"", ""보험재설계""]"
general,2023-12-18,0.5,0.5,0.0,2,"[""종목"", ""뉴스"", ""코람코라이프인프라리"", ""서울경제"", ""한국건설부동산산업대상""]"
general,2024-03-25,0.0,1.0,0.0,1,"[""억개"", ""이미지"", ""생성"", ""사람은"", ""뉴스""]"
general,2024-05-06,0.0,1.0,0.0,1,"[""후기"", ""매트"", ""서울"", ""머니쇼"", ""방문""]"
general,2024-10-14,1.0,0.0,0.0,1,"[""공무원"", ""보험리모델링상담"", ""성공사례"", ""인가족의"", ""보험재설계""]"
general,2024-10-28,1.0,0.0,0.0,1,"[""확실한"", ""직장인재무상담"", ""목돈모으기"", ""목돈마련"", ""방법""]"
general,2024-12-23,1.0,0.0,0.0,1,"[""일부터"", ""보험상품의"", ""보험료"", ""인상"", ""보장금액""]"
general,2025-08-04,0.0,1.0,0.0,1,"[""메트"", ""라이프"", ""달러"", ""종신보험"", ""세계적인""]"
general,2025-08-11,0.5,0.0,0.5,2,"[""메트"", ""달러"", ""라이프"", ""종신"", ""장단점""]"
general,2025-08-18,1.0,0.0,0.0,1,"[""미국주식정보"", ""분쯤"", ""신약"", ""커버"", ""제외""]"
general,2025-09-29,0.0,1.0,0.0,1,"[""오늘의"", ""뉴스"", ""금요일"", ""특히"", ""라이프생명의""]"
general,2025-10-06,0.0,1.0,0.0,1,"[""면접"", ""생각보다"", ""별거아닌"", ""자소설메이트"", ""공식""]"
general,2025-11-24,0.0,1.0,0.0,1,"[""유전자"", ""검사로"", ""운동과"", ""운동"", ""검사""]"
general,2026-01-05,0.0,1.0,0.0,1,"[""네영카"", ""스쳐간"", ""시간"", ""강남"", ""스포""]"
general,2026-02-02,0.0,0.5,0.5,2,"[""달러"", ""메트"", ""라이프"", ""전략으로"", ""환율""]"
general,2026-02-23,0.0,1.0,0.0,1,"[""보험뉴스"", ""카티라이프"", ""특약"", ""두달새"", ""만건""]"
general,2026-03-23,0.0,1.0,0.0,3,"[""후기"", ""안양"", ""포켓몬카드"", ""까는"", ""음악의""]"
general,2026-03-30,0.0,1.0,0.0,1,"[""개인"", ""목요일"", ""오늘의"", ""뉴스"", ""축소""]"
general,2026-04-06,0.0,0.667,0.333,3,"[""배구"", ""보는"", ""한눈에"", ""골프"", ""일반""]"
general,2026-04-13,0.0,1.0,0.0,5,"[""폴더블폰"", ""기회"", ""수상"", ""정리"", ""소식""]"
general,2026-04-20,0.059,0.882,0.059,17,"[""삼성"", ""기자"", ""포켓몬카드가"", ""한눈에"", ""보는""]"
general,2026-04-27,0.2,0.8,0.0,25,"[""포켓몬카드를"", ""위해"", ""오신"", ""후기"", ""구매하러""]"
general,2026-05-04,0.093,0.86,0.047,43,"[""후기"", ""구매하러"", ""오신"", ""포켓몬카드"", ""세대""]"
general,2026-05-11,0.563,0.4,0.037,513,"[""비교"", ""추천"", ""보장"", ""보험료"", ""자동차보험""]"
hanwha,2024-11-04,0.0,1.0,0.0,2,"[""한화생명"", ""한화"", ""쿡북"", ""배달음식"", ""배달""]"
hanwha,2024-11-11,1.0,0.0,0.0,1,"[""이벤트"", ""댓글로"", ""한화생명"", ""시즌"", ""저당""]"
hanwha,2024-11-18,0.609,0.391,0.0,23,"[""고사리"", ""무화과"", ""대파"", ""카프레제"", ""샐러드""]"
hanwha,2024-11-25,0.867,0.133,0.0,15,"[""저당"", ""고사리"", ""레시피"", ""대파"", ""무화과""]"
hanwha,2024-12-02,0.677,0.29,0.032,31,"[""저당"", ""너무"", ""레시피"", ""연말"", ""한화생명""]"
hanwha,2024-12-09,0.786,0.143,0.071,14,"[""연말"", ""저당"", ""로스트"", ""너무"", ""레시피""]"
hanwha,2024-12-16,0.0,1.0,0.0,1,"[""일중독"", ""워커홀릭"", ""치매"", ""워라밸"", ""건강""]"
hanwha,2024-12-30,0.5,0.5,0.0,2,"[""심장질환"", ""겨울"", ""혈관"", ""관상동맥질환"", ""이상엽""]"
